Size,DurationNanos,Iterations
100,74400,1644
200,103200,3244
300,170600,4844
400,250700,6444
500,299300,8044
600,351900,9644
700,379100,11244
800,395000,12844
900,518700,14444
1000,370700,16044
1100,177600,17644
1200,168800,19244
1300,201500,20844
1400,166800,22444
1500,154800,24044
1600,162400,25644
1700,161700,27244
1800,180100,28844
1900,182000,30444
2000,194100,32044
2100,190800,33644
2200,210100,35244
2300,220300,36844
2400,240300,38444
2500,240200,40044
2600,254400,41644
2700,288900,43244
2800,277400,44844
2900,277400,46444
3000,288800,48044
3100,295500,49644
3200,298200,51244
3300,315400,52844
3400,326000,54444
3500,474400,56044
3600,534900,57644
3700,509700,59244
3800,514800,60844
3900,418400,62444
4000,403400,64044
4100,361900,65644
4200,721000,67244
4300,444200,68844
4400,408200,70444
4500,448600,72044
4600,415300,73644
4700,431800,75244
4800,381400,76844
4900,406000,78444
5000,456200,80044
5100,480100,81644
5200,535100,83244
5300,571600,84844
5400,557000,86444
5500,602800,88044
5600,527000,89644
5700,735500,91244
5800,556100,92844
5900,885800,94444
6000,906000,96044
6100,1021300,97644
6200,855600,99244
6300,1158300,100844
6400,1137000,102444
6500,692800,104044
6600,940700,105644
6700,1756300,107244
6800,594500,108844
6900,655200,110444
7000,857100,112044
7100,729200,113644
7200,1498700,115244
7300,1462700,116844
7400,689300,118444
7500,749300,120044
7600,612300,121644
7700,643600,123244
7800,273400,124844
7900,294300,126444
8000,260400,128044
8100,283700,129644
8200,300700,131244
8300,286200,132844
8400,287000,134444
8500,320900,136044
8600,307800,137644
8700,298700,139244
8800,295400,140844
8900,318300,142444
9000,302700,144044
9100,310100,145644
9200,327500,147244
9300,335900,148844
9400,337000,150444
9500,328800,152044
9600,330900,153644
9700,346200,155244
9800,335700,156844
9900,336200,158444
10000,556900,160044
